,,,,
,,,,
,,Target =,2300000,Tons
,,,,
,,Date,CANE (ton),
,,,Today (target),Today Actual 
,,2024-11-28,,
,,2024-11-29,,
,,2024-11-30,,
,,2024-12-01,,
,,2024-12-02,,
,,2024-12-03,,
,,2024-12-04,,
,,2024-12-05,,
,,2024-12-06,,
,,2024-12-07,,
,,2024-12-08,,
,,,,
,,2026-12-01,17000,
,,2026-12-02,17000,
,,2026-12-03,19000,
,,2026-12-04,19000,
,,2026-12-05,19000,
,,2026-12-06,19000,
,,2026-12-07,19000,
,,2026-12-08,19000,
,,2026-12-09,19000,
,,2026-12-10,19000,
,,2026-12-11,19000,
,,2026-12-12,19000,
,,2026-12-13,19000,
,,2026-12-14,19000,
,,2026-12-15,19000,
,,2026-12-16,19000,
,,2026-12-17,19000,
,,2026-12-18,19000,
,,2026-12-19,19000,
,,2026-12-20,9000,
,,2026-12-21,0,
,,2026-12-22,19000,
,,2026-12-23,19000,
,,2026-12-24,19000,
,,2026-12-25,19000,
,,2026-12-26,19000,
,,2026-12-27,19000,
,,2026-12-28,19000,
,,2026-12-29,19000,
,,2026-12-30,19000,
,,2026-12-31,19000,
,,2027-01-01,19000,
,,2027-01-02,19000,
,,2027-01-03,19000,
,,2027-01-04,19000,
,,2027-01-05,19000,
,,2027-01-06,19000,
,,2027-01-07,19000,
,,2027-01-08,19000,
,,2027-01-09,19000,
,,2027-01-10,9000,
,,2027-01-11,0,
,,2027-01-12,19000,
,,2027-01-13,19000,
,,2027-01-14,19000,
,,2027-01-15,19000,
,,2027-01-16,19000,
,,2027-01-17,19000,
,,2027-01-18,19000,
,,2027-01-19,19000,
,,2027-01-20,19000,
,,2027-01-21,19000,
,,2027-01-22,19000,
,,2027-01-23,19000,
,,2027-01-24,19000,
,,2027-01-25,19000,
,,2027-01-26,19000,
,,2027-01-27,19000,
,,2027-01-28,19000,
,,2027-01-29,19000,
,,2027-01-30,19000,
,,2027-01-31,9000,
,,2027-02-01,0,
,,2027-02-02,19000,
,,2027-02-03,19000,
,,2027-02-04,19000,
,,2027-02-05,19000,
,,2027-02-06,19000,
,,2027-02-07,19000,
,,2027-02-08,19000,
,,2027-02-09,19000,
,,2027-02-10,19000,
,,2027-02-11,19000,
,,2027-02-12,19000,
,,2027-02-13,19000,
,,2027-02-14,19000,
,,2027-02-15,19000,
,,2027-02-16,19000,
,,2027-02-17,19000,
,,2027-02-18,19000,
,,2027-02-19,19000,
,,2027-02-20,19000,
,,2027-02-21,9000,
,,2027-02-22,0,
,,2027-02-23,19000,
,,2027-02-24,19000,
